"Trait","Gene","Chromosome","p.sig","Context"
"Cholesterol, HDL","BRINP3",1,4.06544104885836,"intron"
"Cholesterol, HDL","RGS2",1,11.0358652248862,"intergenic"
"Cholesterol, HDL","RGS2",1,9.39894242297036,"intergenic"
"Cholesterol, HDL","HHAT",1,4.00414552012543,"intron"
"Cholesterol, HDL","RYR2",1,4.3840499483436,"intron"
"Cholesterol, HDL","RPS7P5",1,5.59194935692825,"intergenic"
"Cholesterol, HDL","RPS7P5",1,6.36304469002893,"intergenic"
"Cholesterol, HDL","RPS7P5",1,7.52211069254954,"intergenic"
"Cholesterol, HDL","RPS7P5",1,9.38930682463944,"intergenic"
"Cholesterol, HDL","RPS7P5",1,6.02022506400755,"intergenic"
"Cholesterol, HDL","RPS7P5",1,7.52211069254954,"intergenic"
"Cholesterol, HDL","RPS7P5",1,5.59194935692825,"intergenic"
"Cholesterol, HDL","RPS7P5",1,9.38930682463944,"intergenic"
"Cholesterol, HDL","RPS7P5",1,6.02022506400755,"intergenic"
"Cholesterol, HDL","RPS7P5",1,6.36304469002893,"intergenic"
"Cholesterol, HDL","FMN2",1,4.16899537590315,"intron"
"Cholesterol, HDL","KIF26B",1,5.34920696034807,"intron"
"Cholesterol, HDL","KIF26B",1,5.29972906264356,"intron"
"Cholesterol, HDL","KIF26B",1,4.91328433605512,"intron"
"Cholesterol, HDL","PFKFB3",10,4.12604034525665,"intron"
"Cholesterol, HDL","CELF2-AS1",10,4.072937756507,"intergenic"
"Cholesterol, HDL","GNAI2P2",10,6.44894872934538,"intergenic"
"Cholesterol, HDL","RPA2P2",10,4.69122222633528,"intergenic"
"Cholesterol, HDL","NRG3",10,14.3399025355605,"intron"
"Cholesterol, HDL","RPS3AP5",10,4.67121279964547,"intergenic"
"Cholesterol, HDL","SORCS1",10,8.41498426781857,"UTR-3"
"Cholesterol, HDL","SORCS1",10,9.94086349196378,"intron"
"Cholesterol, HDL","RNA5SP326",10,4.87192398733128,"intergenic"
"Cholesterol, HDL","RNA5SP326",10,4.79615153625377,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,4.81990796675551,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,5.91477001160896,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,6.12653398341968,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,5.87006392154186,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,4.84903051566059,"intergenic"
"Cholesterol, HDL","BTBD7P2",10,6.07284913269787,"intergenic"
"Cholesterol, HDL","TCF7L2",10,15.397940008672,"intron"
"Cholesterol, HDL","TCF7L2",10,16.0969100130081,"intron"
"Cholesterol, HDL","LINC01163",10,6.96186297241188,"intergenic"
"Cholesterol, HDL","LINC01163",10,6.31408864722358,"intergenic"
"Cholesterol, HDL","CAND1.11",11,7.30102999566398,"intron"
"Cholesterol, HDL","CAND1.11",11,7.30102999566398,"intron"
"Cholesterol, HDL","RPS2P38",11,6.86631537026824,"intergenic"
"Cholesterol, HDL","RPS2P38",11,6.45938938433444,"intergenic"
"Cholesterol, HDL","C11orf74",11,4.13318119707395,"intergenic"
"Cholesterol, HDL","C11orf74",11,8.39794000867204,"intergenic"
"Cholesterol, HDL","RPL7AP56",11,5.41186190395762,"intergenic"
"Cholesterol, HDL","RPL18P8",11,6.25738152434591,"intergenic"
"Cholesterol, HDL","ACP2",11,4.25813960593474,"UTR-3"
"Cholesterol, HDL","ACP2",11,7.29030613027221,"missense"
"Cholesterol, HDL","NR1H3",11,7.29030613027221,"UTR-5"
"Cholesterol, HDL","NR1H3",11,7.39794000867204,"intron"
"Cholesterol, HDL","NR1H3",11,7.44733178388781,"intron"
"Cholesterol, HDL","FADS1",11,21.698970004336,"UTR-3"
"Cholesterol, HDL","FADS1",11,6.22184874961636,"UTR-3"
"Cholesterol, HDL","FADS1",11,27.0969100130081,"UTR-3"
"Cholesterol, HDL","FADS1",11,23.698970004336,"UTR-3"
"Cholesterol, HDL","FADS1",11,11.698970004336,"intron"
"Cholesterol, HDL","FADS1",11,29,"intron"
"Cholesterol, HDL","FADS1",11,24.1549019599857,"intron"
"Cholesterol, HDL","FADS1",11,12,"intron"
"Cholesterol, HDL","PCNXL3",11,7.52287874528034,"intron"
"Cholesterol, HDL","CTSC",11,4.73035781872769,"intergenic"
"Cholesterol, HDL","OSBPL9P3",11,5.9682677069399,"intergenic"
"Cholesterol, HDL","FAT3",11,4.00414552012543,"intron"
"Cholesterol, HDL","MAML2",11,4.62170972652332,"intron"
"Cholesterol, HDL","ARHGAP42",11,4.08170238940826,"intron"
"Cholesterol, HDL","RPL15P15",11,9.09691001300806,"intergenic"
"Cholesterol, HDL","RPL15P15",11,9.04575749056067,"intergenic"
"Cholesterol, HDL","RPL15P15",11,33.5228787452803,"intergenic"
"Cholesterol, HDL","BUD13",11,14.5228787452803,"intron"
"Cholesterol, HDL","BUD13",11,5.04575749056067,"intergenic"
"Cholesterol, HDL","ZPR1",11,12,"intron"
"Cholesterol, HDL","ZPR1",11,46.301029995664,"intron"
"Cholesterol, HDL","ZPR1",11,10.698970004336,"intron"
"Cholesterol, HDL","ZPR1",11,11.5228787452803,"intron"
"Cholesterol, HDL","ZPR1",11,47.2218487496164,"intron"
"Cholesterol, HDL","ZPR1",11,28,"intron"
"Cholesterol, HDL","ZPR1",11,107.698970004336,"intron"
"Cholesterol, HDL","ZPR1",11,115.52287874528,"intron"
"Cholesterol, HDL","ZPR1",11,13.698970004336,"intron"
"Cholesterol, HDL","ZPR1",11,12.301029995664,"nearGene-5"
"Cholesterol, HDL","APOA5",11,12.301029995664,"UTR-3"
"Cholesterol, HDL","APOA5",11,84.698970004336,"nearGene-5"
"Cholesterol, HDL","SIK3",11,9.52287874528034,"intron"
"Cholesterol, HDL","SIK3",11,9,"intron"
"Cholesterol, HDL","SIK3",11,10,"intron"
"Cholesterol, HDL","SIK3",11,4.02983915696269,"intron"
"Cholesterol, HDL","DSCAML1",11,7.24401502675123,"intron"
"Cholesterol, HDL","BSX",11,6.69897000433602,"intergenic"
"Cholesterol, HDL","PPP1R10P1",11,4.10991447328368,"intergenic"
"Cholesterol, HDL","SNX19",11,4.88584808937085,"intergenic"
"Cholesterol, HDL","IQSEC3",12,4.29800728674968,"intron"
"Cholesterol, HDL","TEAD4",12,6.69897000433602,"intergenic"
"Cholesterol, HDL","RPL34P25",12,4.06183196575357,"intergenic"
"Cholesterol, HDL","TCP1P3",12,7.39794000867204,"intergenic"
"Cholesterol, HDL","TCP1P3",12,8,"intergenic"
"Cholesterol, HDL","MTND1P24",12,5.52287874528034,"intergenic"
"Cholesterol, HDL","CISTR",12,7.74080196842691,"intergenic"
"Cholesterol, HDL","CISTR",12,9.42165125317254,"intergenic"
"Cholesterol, HDL","SRGAP1",12,4.23128791962234,"intron"
"Cholesterol, HDL","SYT1",12,7.01100897973318,"intron"
"Cholesterol, HDL","ATP2B1",12,6.52287874528034,"intron"
"Cholesterol, HDL","ATP2B1",12,6.39794000867204,"intron"
"Cholesterol, HDL","MYL2",12,22.5228787452803,"intergenic"
"Cholesterol, HDL","HECTD4",12,36.1549019599857,"intron"
"Cholesterol, HDL","ZCCHC8",12,6.09691001300806,"intron"
"Cholesterol, HDL","ZCCHC8",12,5.39794000867204,"intron"
"Cholesterol, HDL","ZNF664-FAM101A",12,9.52287874528034,"intron"
"Cholesterol, HDL","ZNF664-FAM101A",12,9.09691001300806,"intron"
"Cholesterol, HDL","ZNF664-FAM101A",12,4.51484665009635,"intron"
"Cholesterol, HDL","LOC101927592",12,5.13955392298003,"intron"
"Cholesterol, HDL","LOC101927592",12,5.13955392298011,"intron"
"Cholesterol, HDL","TMEM132D",12,4.32734807716,"intron"
"Cholesterol, HDL","TMEM132D",12,4.36371274790149,"intron"
"Cholesterol, HDL","TRI-AAT11-1",12,6.07591140588369,"intergenic"
"Cholesterol, HDL","MTUS2",13,8.79333913335717,"intron"
"Cholesterol, HDL","MTUS2",13,8.79118483436095,"intron"
"Cholesterol, HDL","VDAC1P12",13,11.7943161486255,"intergenic"
"Cholesterol, HDL","VDAC1P12",13,8.68061008702161,"intergenic"
"Cholesterol, HDL","LINC00284",13,11.1452267778604,"intergenic"
"Cholesterol, HDL","HTR2A-AS1",13,6.41363983365654,"intergenic"
"Cholesterol, HDL","DLEU7",13,9.85183641093777,"intron"
"Cholesterol, HDL","DLEU7",13,10.2080366393738,"intron"
"Cholesterol, HDL","DLEU7",13,12.7340021933243,"intron"
"Cholesterol, HDL","DLEU7",13,6.95212420020051,"intron"
"Cholesterol, HDL","DLEU7",13,8.30570128700898,"intron"
"Cholesterol, HDL","LINC00378",13,6.30633736303304,"intergenic"
"Cholesterol, HDL","LINC00378",13,6.53959934353072,"intergenic"
"Cholesterol, HDL","RNA5SP32",13,4.22772043818875,"intergenic"
"Cholesterol, HDL","RNA5SP32",13,4.55638086476126,"intergenic"
"Cholesterol, HDL","TBC1D4",13,4.74040612111405,"intron"
"Cholesterol, HDL","TBC1D4",13,5.43663759051339,"intron"
"Cholesterol, HDL","LMO7DN",13,4.06544104885836,"intergenic"
"Cholesterol, HDL","LMO7DN",13,4.45518808824222,"intergenic"
"Cholesterol, HDL","LMO7DN",13,6.10974669484547,"intergenic"
"Cholesterol, HDL","LMO7DN",13,6.05675287486214,"intergenic"
"Cholesterol, HDL","LMO7DN",13,4.40099076017666,"intergenic"
"Cholesterol, HDL","LMO7DN",13,4.19354867675274,"intergenic"
"Cholesterol, HDL","HIGD1AP2",13,5.79364291596687,"intergenic"
"Cholesterol, HDL","GPC6",13,4.26278908248933,"intron"
"Cholesterol, HDL","GPC6",13,4.04381135481473,"intron"
"Cholesterol, HDL","ATP6V1G1P7",13,8.64957938776599,"intergenic"
"Cholesterol, HDL","MYO16",13,10.7953471338803,"intron"
"Cholesterol, HDL","LOC728755",14,6.68567121463814,"intron"
"Cholesterol, HDL","SCFD1",14,6.53275715570803,"intron"
"Cholesterol, HDL","NUBPL",14,5.53760571079622,"intron"
"Cholesterol, HDL","FBXO33",14,4.10887906010645,"intergenic"
"Cholesterol, HDL","FBXO33",14,5.3598639492607,"intergenic"
"Cholesterol, HDL","FBXO33",14,5.43315811790248,"intergenic"
"Cholesterol, HDL","FBXO33",14,5.58648828398121,"intergenic"
"Cholesterol, HDL","FBXO33",14,5.42897521025783,"intergenic"
"Cholesterol, HDL","LRFN5",14,4.39913596369016,"intron"
"Cholesterol, HDL","LINC00648",14,6.45247466584974,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.3631110930162,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.25080495778033,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.49757288001557,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.49757288001557,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.54454603122137,"intergenic"
"Cholesterol, HDL","RPL18P1",14,4.63507396621002,"intergenic"
"Cholesterol, HDL","SAMD4A",14,4.65261897165776,"intron"
"Cholesterol, HDL","SAMD4A",14,5.79084629844814,"intron"
"Cholesterol, HDL","SAMD4A",14,4.49533357974077,"intron"
"Cholesterol, HDL","SPTLC2",14,4.63908308150132,"intergenic"
"Cholesterol, HDL","FLRT2",14,8.85665540158614,"intergenic"
"Cholesterol, HDL","FLRT2",14,5.19190842470093,"intergenic"
"Cholesterol, HDL","FLRT2",14,9.72406143191298,"intergenic"
"Cholesterol, HDL","FLRT2",14,6.51068285907986,"intergenic"
"Cholesterol, HDL","FLRT2",14,13.4087313337695,"intergenic"
"Cholesterol, HDL","ITPK1",14,14.0457574905607,"intron"
"Cholesterol, HDL","ITPK1",14,6.13203564258687,"intron"
"Cholesterol, HDL","ITPK1",14,10.2635754126607,"intron"
"Cholesterol, HDL","ITPK1",14,9.30819983465047,"intron"
"Cholesterol, HDL","ITPK1",14,5.87124585346235,"intron"
"Cholesterol, HDL","ITPK1",14,6.1132019951777,"intron"
"Cholesterol, HDL","LINC01550",14,6.62006848276912,"intergenic"
"Cholesterol, HDL","FBN1",15,4.33150990813891,"intron"
"Cholesterol, HDL","FBN1",15,4.27759956814594,"intron"
"Cholesterol, HDL","FBN1",15,8.70722927203005,"intron"
"Cholesterol, HDL","FBN1",15,9.95590295633152,"intron"
"Cholesterol, HDL","TMOD2",15,9.36792188562948,"intron"
"Cholesterol, HDL","TMOD2",15,8.51241276291314,"intron"
"Cholesterol, HDL","TMOD3",15,7.04477164874208,"intron"
"Cholesterol, HDL","TMOD3",15,8.44206705312032,"intron"
"Cholesterol, HDL","TMOD3",15,9.31694774746191,"intron"
"Cholesterol, HDL","TMOD3",15,7.4431818210265,"intron"
"Cholesterol, HDL","TMOD3",15,7.36936227827973,"intron"
"Cholesterol, HDL","AQP9",15,4.31846515228967,"intron"
"Cholesterol, HDL","AQP9",15,4.62556756220613,"intron"
"Cholesterol, HDL","AQP9",15,5.4348185688948,"intron"
"Cholesterol, HDL","AQP9",15,4.96957209920698,"intron"
"Cholesterol, HDL","AQP9",15,4.24615897939171,"intron"
"Cholesterol, HDL","LIPC",15,13.698970004336,"intron"
"Cholesterol, HDL","LIPC",15,4.28836146176765,"intron"
"Cholesterol, HDL","LIPC",15,7.0483225626567,"intron"
"Cholesterol, HDL","LIPC",15,14,"intron"
"Cholesterol, HDL","LIPC",15,86.5228787452803,"intron"
"Cholesterol, HDL","LIPC",15,31.698970004336,"intron"
"Cholesterol, HDL","LIPC",15,33.698970004336,"intron"
"Cholesterol, HDL","LIPC",15,9,"intron"
"Cholesterol, HDL","LIPC",15,21.301029995664,"intron"
"Cholesterol, HDL","LIPC",15,12.0457574905607,"intron"
"Cholesterol, HDL","LOC101928694",15,21.301029995664,"nearGene-3"
"Cholesterol, HDL","LOC101928694",15,12.0457574905607,"nearGene-3"
"Cholesterol, HDL","LIPC",15,41.397940008672,"intron"
"Cholesterol, HDL","LIPC",15,34.698970004336,"intron"
"Cholesterol, HDL","LOC101928694",15,41.397940008672,"ncRNA"
"Cholesterol, HDL","LOC101928694",15,34.698970004336,"ncRNA"
"Cholesterol, HDL","LIPC",15,11.698970004336,"intron"
"Cholesterol, HDL","LOC101928694",15,11.698970004336,"intron"
"Cholesterol, HDL","LIPC",15,4.9051796196452,"intron"
"Cholesterol, HDL","LOC101928694",15,4.9051796196452,"intron"
"Cholesterol, HDL","LIPC",15,4.5508302678348,"intron"
"Cholesterol, HDL","LOC101928694",15,4.5508302678348,"intron"
"Cholesterol, HDL","RORA",15,4.33524071227936,"intron"
"Cholesterol, HDL","RORA",15,4.40079828298543,"intron"
"Cholesterol, HDL","TPM1",15,8.04575749056067,"intergenic"
"Cholesterol, HDL","TPM1",15,10.397940008672,"intergenic"
"Cholesterol, HDL","KIAA1024",15,7.52807181650862,"intergenic"
"Cholesterol, HDL","RPS12P25",15,5.16116403918777,"intergenic"
"Cholesterol, HDL","FAH",15,5.08639805027084,"intron"
"Cholesterol, HDL","CEMIP",15,5.30102999566398,"intron"
"Cholesterol, HDL","TMC3",15,4.50484418561845,"intergenic"
"Cholesterol, HDL","MCTP2",15,5.74617340864966,"intron"
"Cholesterol, HDL","RPL26P5",15,4.55299710153384,"intergenic"
"Cholesterol, HDL","RBFOX1",16,4.33337510291872,"intron"
"Cholesterol, HDL","RBFOX1",16,4.32778076228764,"intron"
"Cholesterol, HDL","RBFOX1",16,4.10706438687981,"intron"
"Cholesterol, HDL","UNGP1",16,5.21319807140883,"intergenic"
"Cholesterol, HDL","UNGP1",16,6.20239664532641,"intergenic"
"Cholesterol, HDL","FTO",16,8.30102999566398,"intron"
"Cholesterol, HDL","FTO",16,8.15490195998574,"intron"
"Cholesterol, HDL","FTO",16,14,"intron"
"Cholesterol, HDL","FTO",16,16.698970004336,"intron"
"Cholesterol, HDL","HERPUD1",16,5.52287874528034,"missense"
"Cholesterol, HDL","HERPUD1",16,4.96217524941166,"intergenic"
"Cholesterol, HDL","HERPUD1",16,4.13876438136596,"intergenic"
"Cholesterol, HDL","HERPUD1",16,30.5228787452803,"intergenic"
"Cholesterol, HDL","HERPUD1",16,8.65600093094284,"intergenic"
"Cholesterol, HDL","HERPUD1",16,26.0457574905607,"intergenic"
"Cholesterol, HDL","HERPUD1",16,32,"intergenic"
"Cholesterol, HDL","HERPUD1",16,10.301029995664,"intergenic"
"Cholesterol, HDL","HERPUD1",16,74.397940008672,"intergenic"
"Cholesterol, HDL","HERPUD1",16,15.301029995664,"intergenic"
"Cholesterol, HDL","HERPUD1",16,64.5228787452803,"intergenic"
"Cholesterol, HDL","HERPUD1",16,23,"intergenic"
"Cholesterol, HDL","HERPUD1",16,12.0457574905607,"intergenic"
"Cholesterol, HDL","HERPUD1",16,44,"intergenic"
"Cholesterol, HDL","HERPUD1",16,15.5228787452803,"intergenic"
"Cholesterol, HDL","HERPUD1",16,149,"intergenic"
"Cholesterol, HDL","HERPUD1",16,164.397940008672,"intergenic"
"Cholesterol, HDL","HERPUD1",16,10.7791077507805,"intergenic"
"Cholesterol, HDL","HERPUD1",16,6.72307886793423,"intergenic"
"Cholesterol, HDL","HERPUD1",16,4.08767164203959,"intergenic"
"Cholesterol, HDL","HERPUD1",16,9.15939212099071,"intergenic"
"Cholesterol, HDL","HERPUD1",16,14.869666231505,"intergenic"
"Cholesterol, HDL","HERPUD1",16,56.698970004336,"intergenic"
"Cholesterol, HDL","HERPUD1",16,27,"intergenic"
"Cholesterol, HDL","HERPUD1",16,28.1549019599857,"intergenic"
"Cholesterol, HDL","HERPUD1",16,28.1567049172635,"intergenic"
"Cholesterol, HDL","HERPUD1",16,11.5228787452803,"intergenic"
"Cholesterol, HDL","HERPUD1",16,28.301029995664,"intergenic"
"Cholesterol, HDL","HERPUD1",16,323.306215343116,"intergenic"
"Cholesterol, HDL","HERPUD1",16,48,"intergenic"
"Cholesterol, HDL","HERPUD1",16,17.0457574905607,"intergenic"
"Cholesterol, HDL","HERPUD1",16,323.306215343116,"intergenic"
"Cholesterol, HDL","HERPUD1",16,24.698970004336,"intergenic"
"Cholesterol, HDL","HERPUD1",16,6.39794000867204,"intergenic"
"Cholesterol, HDL","HERPUD1",16,96.698970004336,"intergenic"
"Cholesterol, HDL","HERPUD1",16,16,"intergenic"
"Cholesterol, HDL","CETP",16,315.154901960952,"nearGene-5"
"Cholesterol, HDL","CETP",16,11.8416375079047,"nearGene-5"
"Cholesterol, HDL","CETP",16,7.97881070093006,"nearGene-5"
"Cholesterol, HDL","CETP",16,73,"nearGene-5"
"Cholesterol, HDL","CETP",16,92.397940008672,"nearGene-5"
"Cholesterol, HDL","CETP",16,8.52287874528034,"nearGene-5"
"Cholesterol, HDL","CETP",16,17.0969100130081,"nearGene-5"
"Cholesterol, HDL","CETP",16,307.397940008672,"intron"
"Cholesterol, HDL","CETP",16,10.1923973300835,"intron"
"Cholesterol, HDL","CETP",16,5.32541439769709,"intron"
"Cholesterol, HDL","CETP",16,4.97142874730746,"intron"
"Cholesterol, HDL","CETP",16,11.9193735130782,"intron"
"Cholesterol, HDL","CETP",16,38.1549019599857,"intron"
"Cholesterol, HDL","CETP",16,6.21688286250953,"intron"
"Cholesterol, HDL","CETP",16,11.314795865529,"intron"
"Cholesterol, HDL","CETP",16,15.6575773191778,"intron"
"Cholesterol, HDL","CETP",16,9.90868484030278,"intron"
"Cholesterol, HDL","CETP",16,21.5268050907951,"intron"
"Cholesterol, HDL","CETP",16,93.0457574905607,"intron"
"Cholesterol, HDL","CETP",16,24,"intron"
"Cholesterol, HDL","CETP",16,5.37458464784559,"intron"
"Cholesterol, HDL","CETP",16,12.5404567417196,"intron"
"Cholesterol, HDL","CETP",16,15.640543979879,"intron"
"Cholesterol, HDL","CETP",16,5.04575749056067,"intron"
"Cholesterol, HDL","CETP",16,48.397940008672,"intron"
"Cholesterol, HDL","CETP",16,27.698970004336,"intron"
"Cholesterol, HDL","CETP",16,15.698970004336,"missense"
"Cholesterol, HDL","RPS27P27",16,7.52620628420854,"intergenic"
"Cholesterol, HDL","RPS27P27",16,5.39416492386559,"intergenic"
"Cholesterol, HDL","EXOC3L1",16,6.7856861025756,"intron"
"Cholesterol, HDL","EXOC3L1",16,10.698970004336,"nearGene-5"
"Cholesterol, HDL","ZFHX3",16,10.5228787452803,"intron"
"Cholesterol, HDL","WWOX",16,6.83154143778895,"intron"
"Cholesterol, HDL","WWOX",16,7.02339073412487,"intron"
"Cholesterol, HDL","RNA5SP431",16,7.86734044480522,"intergenic"
"Cholesterol, HDL","RNA5SP431",16,6.52287874528034,"intergenic"
"Cholesterol, HDL","CDH13",16,4.34640161815671,"intron"
"Cholesterol, HDL","GALNS",16,4.6825635034649,"intron"
"Cholesterol, HDL","MYO1D",17,4.11614188949057,"intron"
"Cholesterol, HDL","ASIC2",17,4.06636088747508,"intron"
"Cholesterol, HDL","ASIC2",17,4.18621892182592,"intron"
"Cholesterol, HDL","RNF157",17,4.56404168187851,"intron"
"Cholesterol, HDL","THEMIS3P",18,66.301029995664,"intergenic"
"Cholesterol, HDL","THEMIS3P",18,7.39794000867204,"intergenic"
"Cholesterol, HDL","RNA5SP450",18,4.43659947435985,"intergenic"
"Cholesterol, HDL","RNA5SP450",18,4.47634350764362,"intergenic"
"Cholesterol, HDL","RNA5SP450",18,4.12522973389006,"intergenic"
"Cholesterol, HDL","ARIH2P1",18,4.08351127251696,"intergenic"
"Cholesterol, HDL","ARIH2P1",18,4.10706438687962,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.61785355351864,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.55829544587253,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.38013973025995,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.90969423195346,"intergenic"
"Cholesterol, HDL","MIR302F",18,5.20258075655883,"intergenic"
"Cholesterol, HDL","MIR302F",18,5.20668190655399,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.75576625250225,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.68169305723356,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.62749710357087,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.43471146670466,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.49153224389127,"intergenic"
"Cholesterol, HDL","MIR302F",18,4.45361021841679,"intergenic"
"Cholesterol, HDL","RPS27P28",18,5.85792570714146,"intergenic"
"Cholesterol, HDL","LINC00669",18,4.00610260765892,"intron"
"Cholesterol, HDL","LINC00907",18,4.4358075393738,"intron"
"Cholesterol, HDL","LIPG",18,35.0969100130081,"intergenic"
"Cholesterol, HDL","LIPG",18,9.30102999566398,"intergenic"
"Cholesterol, HDL","LIPG",18,48.5228787452803,"intergenic"
"Cholesterol, HDL","LIPG",18,44,"intergenic"
"Cholesterol, HDL","LIPG",18,14.1549019599857,"intergenic"
"Cholesterol, HDL","LIPG",18,10.698970004336,"intergenic"
"Cholesterol, HDL","SMUG1P1",18,11.2218487496164,"intergenic"
"Cholesterol, HDL","SMUG1P1",18,6.69897000433602,"intergenic"
"Cholesterol, HDL","SMUG1P1",18,11.698970004336,"intergenic"
"Cholesterol, HDL","SMUG1P1",18,15,"intergenic"
"Cholesterol, HDL","HMGN1P31",18,6.06773601833208,"intergenic"
"Cholesterol, HDL","HMGN1P31",18,5.70443394241409,"intergenic"
"Cholesterol, HDL","HMGN1P31",18,6.06373125912867,"intergenic"
"Cholesterol, HDL","PRPF19P1",18,7.23918884057518,"intergenic"
"Cholesterol, HDL","PRPF19P1",18,6.75375251111367,"intergenic"
"Cholesterol, HDL","MBP",18,4.31660327388046,"intron"
"Cholesterol, HDL","RAB11B",19,8,"intron"
"Cholesterol, HDL","SUGP1",19,10.698970004336,"intron"
"Cholesterol, HDL","SUGP1",19,10.397940008672,"intron"
"Cholesterol, HDL","ZNF536",19,5.90716407782479,"intron"
"Cholesterol, HDL","ZNF536",19,6.02989875762809,"intron"
"Cholesterol, HDL","BCL3",19,13,"intron"
"Cholesterol, HDL","BCL3",19,15.397940008672,"intron"
"Cholesterol, HDL","APOE",19,8,"intergenic"
"Cholesterol, HDL","APOC1",19,20.397940008672,"nearGene-3"
"Cholesterol, HDL","APOC1",19,20.698970004336,"nearGene-3"
"Cholesterol, HDL","APOC1",19,163.698970004336,"nearGene-3"
"Cholesterol, HDL","APOC1",19,22,"nearGene-3"
"Cholesterol, HDL","APOC1",19,24.698970004336,"nearGene-3"
"Cholesterol, HDL","FPR3",19,12.698970004336,"intron"
"Cholesterol, HDL","LINC01250",2,4.17121125181505,"intron"
"Cholesterol, HDL","LINC01249",2,7.3679339007063,"intergenic"
"Cholesterol, HDL","GRHL1",2,5.52287874528034,"intron"
"Cholesterol, HDL","LOC100506457",2,4.2924365724843,"intron"
"Cholesterol, HDL","LOC100506457",2,4.29243657248437,"intron"
"Cholesterol, HDL","LDAH",2,5.69421884874502,"intergenic"
"Cholesterol, HDL","LDAH",2,6.39794000867204,"intergenic"
"Cholesterol, HDL","LDAH",2,5.42296801437397,"intergenic"
"Cholesterol, HDL","LDAH",2,7.39794000867204,"intergenic"
"Cholesterol, HDL","APOB",2,30,"missense"
"Cholesterol, HDL","APOB",2,20.1549019599857,"intron"
"Cholesterol, HDL","APOB",2,5.32057210338788,"missense"
"Cholesterol, HDL","APOB",2,5.46916022138348,"intron"
"Cholesterol, HDL","APOB",2,20.301029995664,"intergenic"
"Cholesterol, HDL","APOB",2,24.5228787452803,"intergenic"
"Cholesterol, HDL","TDRD15",2,15.397940008672,"intergenic"
"Cholesterol, HDL","TDRD15",2,20.0969100130081,"intergenic"
"Cholesterol, HDL","KLHL29",2,4.56212585442482,"intron"
